Date of Offense,Time of Offense,Date Offense Reported,Report Year,Month,CCN,District,Block Location,Type of Hate Bias,Targeted Group ,Top Offense Type
10/3/2014,1320-1321,10/03/14,2014,10,14152172,6D,5100 B/O Nannie Helen Burroughs Ave NE,Sexual Orientation,,Threats
10/13/2014,2255-2345,10/13/14,2014,10,14157939,6D,2300 B/O Fairlawn Ave SE,Race,White,Damage/Defacing/Destruction of Property
10/16/2014,1906-1908,10/16/14,2014,10,14159610,2D,5200 B/O Loughboro Rd NW,Race,Black,Simple Assault
10/31/2014,2350-2359,11/01/14,2014,11,14169001,1D,7th St NW & G ST NW,Sexual Orientation,,Simple Assault
11/2/2014,1000,11/02/14,2014,11,14169801,1D,300 B/O G St SW,Race,White,Threats
11/2/2014,1727-1945,11/02/14,2014,11,14169959,7D,1600 B/O Good Hope Rd SE,Sexual Orientation,,Simple Assault
11/2/2014,2047,11/03/14,2014,11,14170617,3D,1100 B/O 7th St NW,Ethnicity/National Origin,Indian,Simple Assault
11/6/2014,1820-1830,11/03/14,2014,11,14172353,6D,900 B/O Division Ave NE,Sexual Orientation,,ADW
11/13/2014,1340-1509,11/13/14,2014,11,14176146,3D,1500 B/O Park Rd NW,Race,Unspecified,ADW
11/15/2014,0323-0330,11/15/14,2014,11,14177125,2D,1600 B/O K St NW,Sexual Orientation,,Simple Assault
1/11/2015,1700-1710,01/11/15,2015,1,15005239,5D,2300 B/O Washington Pl NE,Sexual Orientation,,Damage/Defacing/Destruction of Property
1/16/2015,1622-1628,01/16/15,2015,1,15007779,2D,3900 B/O Chesapeake St NW,Sexual Orientation,,Simple Assault
1/18/2015,1200-1220,01/18/15,2015,1,15008222,1D,300 B/O Indiana Ave NW,Sexual Orientation,,ADW
1/23/2015,1730-0930,01/24/15,2015,1,15011758,2D,3000 B/O Van Ness St NW,Race,Black,Damage/Defacing/Destruction of Property
2/5/2015,0230-0250,02/05/15,2015,2,15017703,7D,2900 B/O Martin Luther King Jr Ave SE,Gender Identity/Expression,,ADW
2/5/2015,1820-1821,02/05/15,2015,2,15018054,3D,3100 B/O 14th St NW,Gender Identity/Expression,,Simple Assault
2/13/2015,2100-1445,02/15/15,2015,2,15022921,2D,4800 B/O Connecticut Ave NW,Race,Black,Damage/Defacing/Destruction of Property
2/24/2015,2025-2026,02/24/15,2015,2,15026882,7D,2600 B/O Stanton Rd SE,Sexual Orientation,,Simple Assault
3/2/2015,1717-1913,03/02/15,2015,3,15029735,1D,4th St NW & K St NW,Race,Asian,ADW
3/13/2015,1548,03/14/15,2015,3,15035070,7D,1200 B/O Pleasant St SE,Gender Identity/Expression,,Robbery
3/19/2015,1350-1400,03/19/15,2015,3,15038284,2D,3100 B/O K St NW,Sexual Orientation,,Threats
